,movieId,rating,title,genres,relevance
0,1,3.921239561324077,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,0.16022251773049645
1,2,3.2119768016904198,Jumanji (1995),Adventure|Children|Fantasy,0.11948603723404255
2,3,3.1510404397330194,Grumpier Old Men (1995),Comedy|Romance,0.09240336879432623
3,4,2.8613933236574747,Waiting to Exhale (1995),Comedy|Drama|Romance,0.08542686170212765
4,5,3.064591727653976,Father of the Bride Part II (1995),Comedy,0.09885305851063829
5,6,3.834930331813047,Heat (1995),Action|Crime|Thriller,0.15758311170212766
6,7,3.3664840675873777,Sabrina (1995),Comedy|Romance,0.09766090425531915
7,8,3.142049469964664,Tom and Huck (1995),Adventure|Children,0.08129831560283687
8,9,3.0049242424242424,Sudden Death (1995),Action,0.07628834219858155
9,10,3.430029305292191,GoldenEye (1995),Action|Adventure|Thriller,0.11834131205673759
10,11,3.667712806959586,"American President, The (1995)",Comedy|Drama|Romance,0.12167619680851065
11,12,2.619765929778933,Dracula: Dead and Loving It (1995),Comedy|Horror,0.07732491134751773
12,13,3.272416153319644,Balto (1995),Adventure|Animation|Children,0.08019481382978723
13,14,3.432082364662903,Nixon (1995),Drama,0.12696320921985815
14,15,2.7219931271477664,Cutthroat Island (1995),Action|Adventure|Romance,0.09017220744680851
15,16,3.787455444406117,Casino (1995),Crime|Drama,0.1615997340425532
16,17,3.9685730875308463,Sense and Sensibility (1995),Drama|Romance,0.11215181737588652
17,18,3.373630597732077,Four Rooms (1995),Comedy,0.1271125886524823
18,19,2.6074123603018435,Ace Ventura: When Nature Calls (1995),Comedy,0.10952149822695036
19,20,2.8807541625857005,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,0.08443705673758864
20,21,3.581688505556477,Get Shorty (1995),Comedy|Crime|Thriller,0.12684042553191488
21,22,3.319399677679291,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,0.11175642730496455
22,23,3.1482352941176472,Assassins (1995),Action|Crime|Thriller,0.08937699468085107
23,24,3.199849454271735,Powder (1995),Drama|Sci-Fi,0.11874157801418439
24,25,3.689509581032803,Leaving Las Vegas (1995),Drama|Romance,0.1455117464539007
25,26,3.628856624319419,Othello (1995),Drama,0.10681626773049645
26,27,3.413520097442144,Now and Then (1995),Children|Drama,0.09156959219858156
27,28,4.057545973367152,Persuasion (1995),Drama|Romance,0.09761724290780141
28,29,3.952230046948357,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,0.18125132978723404
29,30,3.633879781420765,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,0.11974689716312056
30,31,3.250344462109168,Dangerous Minds (1995),Drama,0.10702083333333333
